"","Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"1","S3",2000,2000,2000,1,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0","Food and live animals",1,"No Quantity",NA,NA,NA,NA,NA,NA,36806161581,NA,NA,0
"2","S3",2000,2000,2000,2,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00","LIVE ANIMALS",1,"No Quantity",NA,NA,NA,NA,NA,NA,1930232356,NA,NA,0
"3","S3",2000,2000,2000,3,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"001","LIVE ANIMALS",5,"Number of items",20064387,NA,NA,NA,NA,NA,1930232356,NA,NA,2
"4","S3",2000,2000,2000,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0011","Bovine animals, live",5,"Number of items",2191019,NA,NA,NA,717543132,NA,1157493867,NA,NA,4
"5","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00111","Pure-bred bovine breeding animals, live",5,"Number of items",5967,NA,NA,NA,2981256,NA,6183764,NA,NA,4
"6","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00119","Bovine animals, live, other than pure-bred breeding stock",5,"Number of items",2185052,NA,NA,NA,714561875,NA,1151310103,NA,NA,4
"7","S3",2000,2000,2000,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0012","Sheep and goats, live",5,"Number of items",52960,NA,NA,NA,3285884,NA,5746312,NA,NA,4
"8","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00121","Sheep, live",5,"Number of items",51546,NA,NA,NA,3178580,NA,5461786,NA,NA,4
"9","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00122","Goats, live",5,"Number of items",1414,NA,NA,NA,107304,NA,284526,NA,NA,4
"10","S3",2000,2000,2000,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0013","Swine, live",5,"Number of items",4357564,NA,NA,NA,234420695,NA,291379289,NA,NA,4
"11","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00131","Swine, pure-bred breeding animals",5,"Number of items",4585,NA,NA,NA,251099,NA,1117255,NA,NA,4
