"","Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"1","S3",2000,2000,2000,1,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0","Food and live animals",1,"No Quantity",NA,NA,NA,NA,NA,NA,1022381190,NA,NA,0
"2","S3",2000,2000,2000,2,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"00","LIVE ANIMALS",1,"No Quantity",NA,NA,NA,NA,NA,NA,5126205,NA,NA,0
"3","S3",2000,2000,2000,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"001","LIVE ANIMALS",5,"Number of items",41380,NA,NA,NA,NA,NA,5126205,NA,NA,2
"4","S3",2000,2000,2000,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0015","Equine species, live",5,"Number of items",888,NA,NA,NA,NA,NA,6660,NA,NA,0
"5","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"00152","Asses, mules and hinnies, live",5,"Number of items",888,NA,NA,NA,NA,NA,6660,NA,NA,0
"6","S3",2000,2000,2000,4,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0019","Live animals, n.e.s.",5,"Number of items",40492,NA,NA,NA,115046,NA,5119545,NA,NA,6
"7","S3",2000,2000,2000,2,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01","MEAT, MEAT PREPARATIONS",1,"No Quantity",NA,NA,NA,NA,NA,NA,3779457,NA,NA,0
"8","S3",2000,2000,2000,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"012","OTHER MEAT, MEAT OFFAL",8,"Weight in kilograms",987271,NA,NA,NA,987271,NA,3695207,NA,NA,6
"9","S3",2000,2000,2000,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0129","Meat,edible offal, nes",8,"Weight in kilograms",987271,NA,NA,NA,987271,NA,3695207,NA,NA,6
"10","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01291","Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen",8,"Weight in kilograms",376582,NA,NA,NA,376582,NA,1337182,NA,NA,6
"11","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01292","Frogs' legs, fresh, chilled or frozen",8,"Weight in kilograms",607749,NA,NA,NA,607749,NA,2346400,NA,NA,6
"12","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01293","Snails (other than sea snails)",8,"Weight in kilograms",2513,NA,NA,NA,2513,NA,9217,NA,NA,6
"13","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01299","Other meat and edible meat offal, fresh, chilled or frozen",8,"Weight in kilograms",427,NA,NA,NA,427,NA,2408,NA,NA,6
"14","S3",2000,2000,2000,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"017","MEAT,OFFL.PRPD,PRSVD,NES",8,"Weight in kilograms",12093,NA,NA,NA,12093,NA,84250,NA,NA,6
"15","S3",2000,2000,2000,4,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0171","Extracts and juices of meat, fish or crustaceans, molluscs or other aquat",8,"Weight in kilograms",12093,NA,NA,NA,12093,NA,84250,NA,NA,6
"16","S3",2000,2000,2000,2,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"02","DAIRY PRODUCTS,BIRD EGGS",1,"No Quantity",NA,NA,NA,NA,NA,NA,3528349,NA,NA,0
"17","S3",2000,2000,2000,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"025","EGGS,BIRDS,YOLKS,ALBUMIN",1,"No Quantity",NA,NA,NA,NA,NA,NA,3528349,NA,NA,0
"18","S3",2000,2000,2000,4,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0251","Birds' eggs, in shell, fresh, preserved or cooked",1,"No Quantity",NA,NA,NA,NA,NA,NA,3426176,NA,NA,0
"19","S3",2000,2000,2000,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0252","Bird eggs unshelld;yolks",1,"No Quantity",NA,NA,NA,NA,NA,NA,102173,NA,NA,0
"20","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"02522","Birds' eggs, not in shell, and egg yolks, other than dried",1,"No Quantity",NA,NA,NA,NA,NA,NA,102173,NA,NA,0
"21","S3",2000,2000,2000,2,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03","FISH,CRUSTACEANS,MOLLUSC",1,"No Quantity",NA,NA,NA,NA,NA,NA,580305782,NA,NA,0
"22","S3",2000,2000,2000,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"034","FISH,FRESH,CHILLED,FROZN",1,"No Quantity",NA,NA,NA,NA,NA,NA,281813909,NA,NA,0
"23","S3",2000,2000,2000,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0341","Fish,fresh,chilled,whole",8,"Weight in kilograms",115504,NA,NA,NA,115504,NA,940455,NA,NA,6
"24","S3",2000,2000,2000,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03411","Fish, live",8,"Weight in kilograms",17794,NA,NA,NA,17794,NA,437097,NA,NA,6
