"","Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"1","S3",2001,2001,2001,1,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0","Food and live animals",1,"No Quantity",NA,NA,NA,NA,NA,NA,37215886956,NA,NA,0
"2","S3",2001,2001,2001,2,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00","LIVE ANIMALS",1,"No Quantity",NA,NA,NA,NA,NA,NA,2238467763,NA,NA,0
"3","S3",2001,2001,2001,3,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"001","LIVE ANIMALS",5,"Number of items",23896283,NA,NA,NA,NA,NA,2238467763,NA,NA,2
"4","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0011","Bovine animals, live",5,"Number of items",2439200,NA,NA,NA,940594988,NA,1464000236,NA,NA,4
"5","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00111","Pure-bred bovine breeding animals, live",5,"Number of items",8762,NA,NA,NA,4501381,NA,9108295,NA,NA,4
"6","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00119","Bovine animals, live, other than pure-bred breeding stock",5,"Number of items",2430438,NA,NA,NA,936093607,NA,1454891941,NA,NA,4
"7","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0012","Sheep and goats, live",5,"Number of items",88728,NA,NA,NA,4242065,NA,8401060,NA,NA,4
"8","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00121","Sheep, live",5,"Number of items",85042,NA,NA,NA,4108517,NA,8062300,NA,NA,4
"9","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00122","Goats, live",5,"Number of items",3686,NA,NA,NA,133548,NA,338760,NA,NA,4
"10","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0013","Swine, live",5,"Number of items",5337688,NA,NA,NA,239119979,NA,349140932,NA,NA,4
"11","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00131","Swine, pure-bred breeding animals",5,"Number of items",21428,NA,NA,NA,925153,NA,4874838,NA,NA,4
"12","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00139","Swine, live, other than pure-bred breeding animals",5,"Number of items",5316260,NA,NA,NA,238194827,NA,344266094,NA,NA,4
"13","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0014","Poultry, live",5,"Number of items",14273326,NA,NA,NA,NA,NA,26102250,NA,NA,0
"14","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00141","Poultry, live weight < 185 grams",5,"Number of items",13545731,NA,NA,NA,734308,NA,20492159,NA,NA,4
"15","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00149","Poultry, live weight > 185 grams",5,"Number of items",727595,NA,NA,NA,NA,NA,5610091,NA,NA,0
"16","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0015","Equine species, live",5,"Number of items",37837,NA,NA,NA,NA,NA,319074069,NA,NA,0
"17","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00151","Horses, live",5,"Number of items",27237,NA,NA,NA,NA,NA,318937182,NA,NA,0
"18","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"00152","Asses, mules and hinnies, live",5,"Number of items",10600,NA,NA,NA,NA,NA,136887,NA,NA,0
"19","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0019","Live animals, n.e.s.",5,"Number of items",1719504,NA,NA,NA,2112052,NA,71749216,NA,NA,6
"20","S3",2001,2001,2001,2,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01","MEAT, MEAT PREPARATIONS",1,"No Quantity",NA,NA,NA,NA,NA,NA,4253589589,NA,NA,0
"21","S3",2001,2001,2001,3,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"011","BOVINE MEAT",8,"Weight in kilograms",919837138,NA,NA,NA,919837138,NA,2519014943,NA,NA,6
"22","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0111","Bovine meat,frsh,chilled",8,"Weight in kilograms",339090021,NA,NA,NA,339090021,NA,1207690927,NA,NA,6
"23","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01111","Meat of bovine animals, fresh or chilled, with bone in",8,"Weight in kilograms",102548958,NA,NA,NA,102548958,NA,257720165,NA,NA,6
"24","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01112","Meat of bovine animals, fresh or chilled, boneless",8,"Weight in kilograms",236541063,NA,NA,NA,236541063,NA,949970762,NA,NA,6
"25","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0112","Bovine meat, frozen",8,"Weight in kilograms",580747117,NA,NA,NA,580747117,NA,1311324016,NA,NA,6
"26","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01121","Meat of bovine animals, frozen, with bone in",8,"Weight in kilograms",2062314,NA,NA,NA,2062314,NA,4919729,NA,NA,6
"27","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01122","Meat of bovine animals, frozen, boneless",8,"Weight in kilograms",578684803,NA,NA,NA,578684803,NA,1306404287,NA,NA,6
"28","S3",2001,2001,2001,3,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"012","OTHER MEAT, MEAT OFFAL",8,"Weight in kilograms",552050615,NA,NA,NA,552050615,NA,1177139658,NA,NA,6
"29","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0121","Meat of sheep or goats",8,"Weight in kilograms",71495304,NA,NA,NA,71495304,NA,244227977,NA,NA,6
"30","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01211","Meat of sheep, fresh or chilled",8,"Weight in kilograms",30399469,NA,NA,NA,30399469,NA,130407089,NA,NA,6
"31","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01212","Meat of sheep, frozen",8,"Weight in kilograms",35969908,NA,NA,NA,35969908,NA,101128078,NA,NA,6
"32","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01213","Meat of goats, fresh, chilled or frozen",8,"Weight in kilograms",5125928,NA,NA,NA,5125928,NA,12692810,NA,NA,6
"33","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0122","Meat of swine",8,"Weight in kilograms",367114567,NA,NA,NA,367114567,NA,771428137,NA,NA,6
"34","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01221","Meat of swine, fresh or chilled",8,"Weight in kilograms",230172730,NA,NA,NA,230172730,NA,510643861,NA,NA,6
"35","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01222","Meat of swine, frozen",8,"Weight in kilograms",136941838,NA,NA,NA,136941838,NA,260784276,NA,NA,6
"36","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0123","Poultry, meat and offal",8,"Weight in kilograms",16390032,NA,NA,NA,16390032,NA,28887936,NA,NA,6
"37","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01231","Poultry not cut in pieces, fresh or chilled",8,"Weight in kilograms",5853770,NA,NA,NA,5853770,NA,9429393,NA,NA,6
"38","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01232","Poultry not cut in pieces, frozen",8,"Weight in kilograms",3046253,NA,NA,NA,3046253,NA,4609770,NA,NA,6
"39","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01233","Fatty livers of geese or ducks, fresh or chilled",8,"Weight in kilograms",91592,NA,NA,NA,91592,NA,2014582,NA,NA,6
"40","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01234","Poultry cuts and other offal, fresh or chilled",8,"Weight in kilograms",3898514,NA,NA,NA,3898514,NA,8342561,NA,NA,6
"41","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01235","Poultry cuts and offal (other than liver), frozen",8,"Weight in kilograms",3499903,NA,NA,NA,3499903,NA,4491630,NA,NA,6
"42","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0124","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",8,"Weight in kilograms",42328,NA,NA,NA,42328,NA,120674,NA,NA,6
"43","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0125","Edible offal",8,"Weight in kilograms",91976659,NA,NA,NA,91976659,NA,106616307,NA,NA,6
"44","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01251","Edible offal of bovine animals, fresh or chilled",8,"Weight in kilograms",15974553,NA,NA,NA,15974553,NA,28817365,NA,NA,6
"45","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01252","Edible offal of bovine animals, frozen",8,"Weight in kilograms",56337407,NA,NA,NA,56337407,NA,63638085,NA,NA,6
"46","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01253","Edible offal of swine, fresh or chilled",8,"Weight in kilograms",12445960,NA,NA,NA,12445960,NA,8914381,NA,NA,6
"47","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01254","Edible offal of swine, frozen",8,"Weight in kilograms",6665969,NA,NA,NA,6665969,NA,4686976,NA,NA,6
"48","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01255","Edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or c",8,"Weight in kilograms",6043,NA,NA,NA,6043,NA,18125,NA,NA,6
"49","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01256","Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",8,"Weight in kilograms",546727,NA,NA,NA,546727,NA,541375,NA,NA,6
"50","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0129","Meat,edible offal, nes",8,"Weight in kilograms",5031725,NA,NA,NA,5031725,NA,25858627,NA,NA,6
"51","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01291","Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen",8,"Weight in kilograms",345918,NA,NA,NA,345918,NA,1139519,NA,NA,6
"52","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01292","Frogs' legs, fresh, chilled or frozen",8,"Weight in kilograms",1541103,NA,NA,NA,1541103,NA,6292473,NA,NA,6
"53","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01293","Snails (other than sea snails)",8,"Weight in kilograms",261004,NA,NA,NA,261004,NA,928473,NA,NA,6
"54","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01299","Other meat and edible meat offal, fresh, chilled or frozen",8,"Weight in kilograms",2883699,NA,NA,NA,2883699,NA,17498162,NA,NA,6
"55","S3",2001,2001,2001,3,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"016","MEAT,ED.OFFL,DRY,SLT,SMK",8,"Weight in kilograms",25353028,NA,NA,NA,25353028,NA,104485266,NA,NA,6
"56","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0161","Pigmeat,dry,salt,smoked",8,"Weight in kilograms",24813799,NA,NA,NA,24813799,NA,101509050,NA,NA,6
"57","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01611","Hams, shoulders and cuts thereof, of swine, with bone in, salted, dried o",8,"Weight in kilograms",643121,NA,NA,NA,643121,NA,3039698,NA,NA,6
"58","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01612","Bellies (streaky) of swine and cuts thereof",8,"Weight in kilograms",17303902,NA,NA,NA,17303902,NA,61572715,NA,NA,6
"59","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01619","Other salted, dried or smoked meat of swine",8,"Weight in kilograms",6866777,NA,NA,NA,6866777,NA,36896637,NA,NA,6
"60","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0168","Oth.meat,off.dry,smk,slt",8,"Weight in kilograms",539229,NA,NA,NA,539229,NA,2976216,NA,NA,6
"61","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01681","Meat of bovine animals, salted, in brine, dried or smoked",8,"Weight in kilograms",319695,NA,NA,NA,319695,NA,2322494,NA,NA,6
"62","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"01689","Other meat and edible meat offal salted, in brine, dried or smoked; edibl",8,"Weight in kilograms",219534,NA,NA,NA,219534,NA,653722,NA,NA,6
"63","S3",2001,2001,2001,3,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"017","MEAT,OFFL.PRPD,PRSVD,NES",8,"Weight in kilograms",154990673,NA,NA,NA,154990673,NA,452949722,NA,NA,6
"64","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0171","Extracts and juices of meat, fish or crustaceans, molluscs or other aquat",8,"Weight in kilograms",859494,NA,NA,NA,859494,NA,4947404,NA,NA,6
"65","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0172","Sausages and similar products, of meat, meat offal or blood; food prepara",8,"Weight in kilograms",7480229,NA,NA,NA,7480229,NA,19845369,NA,NA,6
"66","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0173","Liver of any animal, prepared or preserved, n.e.s.",8,"Weight in kilograms",952611,NA,NA,NA,952611,NA,3416536,NA,NA,6
"67","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0174","Meat and offal (other than liver) of poultry of subgroup 001.4, prepared",8,"Weight in kilograms",12054839,NA,NA,NA,12054839,NA,38942751,NA,NA,6
"68","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0175","Meat and offal (other than liver), of swine, prepared or preserved, n.e.s",8,"Weight in kilograms",51698867,NA,NA,NA,51698867,NA,186424719,NA,NA,6
"69","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0176","Meat and offal (other than liver), of bovine animals, prepared or preserv",8,"Weight in kilograms",81141500,NA,NA,NA,81141500,NA,196959503,NA,NA,6
"70","S3",2001,2001,2001,4,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0179","Other prepared or preserved meat or meat offal (including preparations of",8,"Weight in kilograms",803132,NA,NA,NA,803132,NA,2413440,NA,NA,6
"71","S3",2001,2001,2001,2,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"02","DAIRY PRODUCTS,BIRD EGGS",1,"No Quantity",NA,NA,NA,NA,NA,NA,1057861065,NA,NA,0
"72","S3",2001,2001,2001,3,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"022","MILK AND CREAM",1,"No Quantity",NA,NA,NA,NA,NA,NA,190795102,NA,NA,0
"73","S3",2001,2001,2001,4,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"0221","Milk ex.concentd.sweetnd",8,"Weight in kilograms",13704253,NA,NA,NA,13704253,NA,16161231,NA,NA,6
"74","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"02211","Milk, not concentrated or sweetened, of a fat content, by weight, not exc",8,"Weight in kilograms",381288,NA,NA,NA,381288,NA,269403,NA,NA,6
"75","S3",2001,2001,2001,5,1,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"02212","Milk and cream, not concentrated or sweetened, of a fat content, by weigh",8,"Weight in kilograms",3626992,NA,NA,NA,3626992,NA,2379228,NA,NA,6
