"","DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GENDER_NAME","C_AGE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"78",2020,"Bolsover","E07000033","Total","All Ages","Value",81305,"Normal Value"
"79",2020,"Chesterfield","E07000034","Total","All Ages","Value",104930,"Normal Value"
"80",2020,"Derbyshire Dales","E07000035","Total","All Ages","Value",72422,"Normal Value"
"81",2020,"Erewash","E07000036","Total","All Ages","Value",115332,"Normal Value"
"82",2020,"High Peak","E07000037","Total","All Ages","Value",92633,"Normal Value"
"83",2020,"North East Derbyshire","E07000038","Total","All Ages","Value",102216,"Normal Value"
"84",2020,"South Derbyshire","E07000039","Total","All Ages","Value",109516,"Normal Value"
"85",2020,"Blaby","E07000129","Total","All Ages","Value",101950,"Normal Value"
"86",2020,"Charnwood","E07000130","Total","All Ages","Value",188416,"Normal Value"
"87",2020,"Harborough","E07000131","Total","All Ages","Value",95537,"Normal Value"
"88",2020,"Hinckley and Bosworth","E07000132","Total","All Ages","Value",113666,"Normal Value"
"89",2020,"Melton","E07000133","Total","All Ages","Value",51394,"Normal Value"
"90",2020,"North West Leicestershire","E07000134","Total","All Ages","Value",104809,"Normal Value"
"91",2020,"Oadby and Wigston","E07000135","Total","All Ages","Value",57313,"Normal Value"
"92",2020,"Boston","E07000136","Total","All Ages","Value",70837,"Normal Value"
"93",2020,"East Lindsey","E07000137","Total","All Ages","Value",142030,"Normal Value"
"94",2020,"Lincoln","E07000138","Total","All Ages","Value",100049,"Normal Value"
"95",2020,"North Kesteven","E07000139","Total","All Ages","Value",118149,"Normal Value"
"96",2020,"South Holland","E07000140","Total","All Ages","Value",95857,"Normal Value"
"97",2020,"South Kesteven","E07000141","Total","All Ages","Value",143225,"Normal Value"
"98",2020,"West Lindsey","E07000142","Total","All Ages","Value",96186,"Normal Value"
"99",2020,"Corby","E07000150","Total","All Ages","Value",73053,"Normal Value"
"100",2020,"Daventry","E07000151","Total","All Ages","Value",86951,"Normal Value"
"101",2020,"East Northamptonshire","E07000152","Total","All Ages","Value",95103,"Normal Value"
"102",2020,"Kettering","E07000153","Total","All Ages","Value",102211,"Normal Value"
"103",2020,"Northampton","E07000154","Total","All Ages","Value",224290,"Normal Value"
"104",2020,"South Northamptonshire","E07000155","Total","All Ages","Value",95492,"Normal Value"
"105",2020,"Wellingborough","E07000156","Total","All Ages","Value",80081,"Normal Value"
"106",2020,"Ashfield","E07000170","Total","All Ages","Value",128337,"Normal Value"
"107",2020,"Bassetlaw","E07000171","Total","All Ages","Value",118280,"Normal Value"
"108",2020,"Broxtowe","E07000172","Total","All Ages","Value",114627,"Normal Value"
"109",2020,"Gedling","E07000173","Total","All Ages","Value",118239,"Normal Value"
"110",2020,"Mansfield","E07000174","Total","All Ages","Value",109351,"Normal Value"
"111",2020,"Newark and Sherwood","E07000175","Total","All Ages","Value",123127,"Normal Value"
"112",2020,"Rushcliffe","E07000176","Total","All Ages","Value",121416,"Normal Value"
"113",2020,"Herefordshire, County of","E06000019","Total","All Ages","Value",193615,"Normal Value"
"114",2020,"Shropshire","E06000051","Total","All Ages","Value",325415,"Normal Value"
"115",2020,"Stoke-on-Trent","E06000021","Total","All Ages","Value",256622,"Normal Value"
"116",2020,"Telford and Wrekin","E06000020","Total","All Ages","Value",181322,"Normal Value"
"117",2020,"Cannock Chase","E07000192","Total","All Ages","Value",101484,"Normal Value"
"118",2020,"East Staffordshire","E07000193","Total","All Ages","Value",120923,"Normal Value"
"119",2020,"Lichfield","E07000194","Total","All Ages","Value",105637,"Normal Value"
"120",2020,"Newcastle-under-Lyme","E07000195","Total","All Ages","Value",129610,"Normal Value"
"121",2020,"South Staffordshire","E07000196","Total","All Ages","Value",112369,"Normal Value"
"122",2020,"Stafford","E07000197","Total","All Ages","Value",137858,"Normal Value"
"123",2020,"Staffordshire Moorlands","E07000198","Total","All Ages","Value",98427,"Normal Value"
"124",2020,"Tamworth","E07000199","Total","All Ages","Value",76864,"Normal Value"
"125",2020,"North Warwickshire","E07000218","Total","All Ages","Value",65452,"Normal Value"
"126",2020,"Nuneaton and Bedworth","E07000219","Total","All Ages","Value",130373,"Normal Value"
"127",2020,"Rugby","E07000220","Total","All Ages","Value",110650,"Normal Value"
"128",2020,"Stratford-on-Avon","E07000221","Total","All Ages","Value",132402,"Normal Value"
"129",2020,"Warwick","E07000222","Total","All Ages","Value",144909,"Normal Value"
"130",2020,"Birmingham","E08000025","Total","All Ages","Value",1140525,"Normal Value"
"131",2020,"Coventry","E08000026","Total","All Ages","Value",379387,"Normal Value"
"132",2020,"Dudley","E08000027","Total","All Ages","Value",322363,"Normal Value"
"133",2020,"Sandwell","E08000028","Total","All Ages","Value",329042,"Normal Value"
"134",2020,"Solihull","E08000029","Total","All Ages","Value",217487,"Normal Value"
"135",2020,"Walsall","E08000030","Total","All Ages","Value",286716,"Normal Value"
"136",2020,"Wolverhampton","E08000031","Total","All Ages","Value",264407,"Normal Value"
"137",2020,"Bromsgrove","E07000234","Total","All Ages","Value",100569,"Normal Value"
"138",2020,"Malvern Hills","E07000235","Total","All Ages","Value",79445,"Normal Value"
"139",2020,"Redditch","E07000236","Total","All Ages","Value",85568,"Normal Value"
"140",2020,"Worcester","E07000237","Total","All Ages","Value",100265,"Normal Value"
"141",2020,"Wychavon","E07000238","Total","All Ages","Value",131084,"Normal Value"
"142",2020,"Wyre Forest","E07000239","Total","All Ages","Value",101139,"Normal Value"
"143",2020,"Bedford","E06000055","Total","All Ages","Value",174687,"Normal Value"
"144",2020,"Central Bedfordshire","E06000056","Total","All Ages","Value",294096,"Normal Value"
"145",2020,"Luton","E06000032","Total","All Ages","Value",213528,"Normal Value"
"146",2020,"Peterborough","E06000031","Total","All Ages","Value",202626,"Normal Value"
"147",2020,"Southend-on-Sea","E06000033","Total","All Ages","Value",182773,"Normal Value"
"148",2020,"Thurrock","E06000034","Total","All Ages","Value",175531,"Normal Value"
"149",2020,"Cambridge","E07000008","Total","All Ages","Value",125063,"Normal Value"
"150",2020,"East Cambridgeshire","E07000009","Total","All Ages","Value",90172,"Normal Value"
"151",2020,"Fenland","E07000010","Total","All Ages","Value",102080,"Normal Value"
"152",2020,"Huntingdonshire","E07000011","Total","All Ages","Value",178985,"Normal Value"
"153",2020,"South Cambridgeshire","E07000012","Total","All Ages","Value",160904,"Normal Value"
"154",2020,"Basildon","E07000066","Total","All Ages","Value",187558,"Normal Value"
"155",2020,"Braintree","E07000067","Total","All Ages","Value",153091,"Normal Value"
"156",2020,"Brentwood","E07000068","Total","All Ages","Value",77242,"Normal Value"
"157",2020,"Castle Point","E07000069","Total","All Ages","Value",90524,"Normal Value"
"158",2020,"Chelmsford","E07000070","Total","All Ages","Value",179549,"Normal Value"
"159",2020,"Colchester","E07000071","Total","All Ages","Value",197200,"Normal Value"
"160",2020,"Epping Forest","E07000072","Total","All Ages","Value",132175,"Normal Value"
"161",2020,"Harlow","E07000073","Total","All Ages","Value",87280,"Normal Value"
"162",2020,"Maldon","E07000074","Total","All Ages","Value",65401,"Normal Value"
"163",2020,"Rochford","E07000075","Total","All Ages","Value",87627,"Normal Value"
"164",2020,"Tendring","E07000076","Total","All Ages","Value",147353,"Normal Value"
"165",2020,"Uttlesford","E07000077","Total","All Ages","Value",92759,"Normal Value"
"166",2020,"Broxbourne","E07000095","Total","All Ages","Value",97592,"Normal Value"
"167",2020,"Dacorum","E07000096","Total","All Ages","Value",155457,"Normal Value"
"168",2020,"East Hertfordshire","E07000242","Total","All Ages","Value",151786,"Normal Value"
"169",2020,"Hertsmere","E07000098","Total","All Ages","Value",105471,"Normal Value"
"170",2020,"North Hertfordshire","E07000099","Total","All Ages","Value",133463,"Normal Value"
"171",2020,"St Albans","E07000240","Total","All Ages","Value",149317,"Normal Value"
"172",2020,"Stevenage","E07000243","Total","All Ages","Value",88104,"Normal Value"
"173",2020,"Three Rivers","E07000102","Total","All Ages","Value",93966,"Normal Value"
"174",2020,"Watford","E07000103","Total","All Ages","Value",96623,"Normal Value"
"175",2020,"Welwyn Hatfield","E07000241","Total","All Ages","Value",123893,"Normal Value"
"176",2020,"Breckland","E07000143","Total","All Ages","Value",141255,"Normal Value"
"177",2020,"Broadland","E07000144","Total","All Ages","Value",131931,"Normal Value"
"178",2020,"Great Yarmouth","E07000145","Total","All Ages","Value",99198,"Normal Value"
"179",2020,"King's Lynn and West Norfolk","E07000146","Total","All Ages","Value",151245,"Normal Value"
"180",2020,"North Norfolk","E07000147","Total","All Ages","Value",105167,"Normal Value"
"181",2020,"Norwich","E07000148","Total","All Ages","Value",142177,"Normal Value"
"182",2020,"South Norfolk","E07000149","Total","All Ages","Value",143066,"Normal Value"
"183",2020,"Babergh","E07000200","Total","All Ages","Value",92735,"Normal Value"
"184",2020,"Forest Heath","E07000201","Total","All Ages","Value",64132,"Normal Value"
"185",2020,"Ipswich","E07000202","Total","All Ages","Value",135979,"Normal Value"
"186",2020,"Mid Suffolk","E07000203","Total","All Ages","Value",104857,"Normal Value"
"187",2020,"St Edmundsbury","E07000204","Total","All Ages","Value",113170,"Normal Value"
"188",2020,"Suffolk Coastal","E07000205","Total","All Ages","Value",131751,"Normal Value"
"189",2020,"Waveney","E07000206","Total","All Ages","Value",118622,"Normal Value"
"190",2020,"Camden","E09000007","Total","All Ages","Value",279516,"Normal Value"
"191",2020,"City of London","E09000001","Total","All Ages","Value",10938,"Normal Value"
"192",2020,"Hackney","E09000012","Total","All Ages","Value",280941,"Normal Value"
"193",2020,"Hammersmith and Fulham","E09000013","Total","All Ages","Value",183544,"Normal Value"
"194",2020,"Haringey","E09000014","Total","All Ages","Value",266357,"Normal Value"
"195",2020,"Islington","E09000019","Total","All Ages","Value",248115,"Normal Value"
"196",2020,"Kensington and Chelsea","E09000020","Total","All Ages","Value",156864,"Normal Value"
"197",2020,"Lambeth","E09000022","Total","All Ages","Value",321813,"Normal Value"
"198",2020,"Lewisham","E09000023","Total","All Ages","Value",305309,"Normal Value"
"199",2020,"Newham","E09000025","Total","All Ages","Value",355266,"Normal Value"
"200",2020,"Southwark","E09000028","Total","All Ages","Value",320017,"Normal Value"
"201",2020,"Tower Hamlets","E09000030","Total","All Ages","Value",331969,"Normal Value"
"202",2020,"Wandsworth","E09000032","Total","All Ages","Value",329735,"Normal Value"
"203",2020,"Westminster","E09000033","Total","All Ages","Value",269848,"Normal Value"
"204",2020,"Barking and Dagenham","E09000002","Total","All Ages","Value",214107,"Normal Value"
"205",2020,"Barnet","E09000003","Total","All Ages","Value",399007,"Normal Value"
"206",2020,"Bexley","E09000004","Total","All Ages","Value",249301,"Normal Value"
"207",2020,"Brent","E09000005","Total","All Ages","Value",327753,"Normal Value"
"208",2020,"Bromley","E09000006","Total","All Ages","Value",332752,"Normal Value"
"209",2020,"Croydon","E09000008","Total","All Ages","Value",388563,"Normal Value"
"210",2020,"Ealing","E09000009","Total","All Ages","Value",340341,"Normal Value"
"211",2020,"Enfield","E09000010","Total","All Ages","Value",333587,"Normal Value"
"212",2020,"Greenwich","E09000011","Total","All Ages","Value",289034,"Normal Value"
"213",2020,"Harrow","E09000015","Total","All Ages","Value",252338,"Normal Value"
"214",2020,"Havering","E09000016","Total","All Ages","Value",260651,"Normal Value"
"215",2020,"Hillingdon","E09000017","Total","All Ages","Value",309014,"Normal Value"
"216",2020,"Hounslow","E09000018","Total","All Ages","Value",271767,"Normal Value"
"217",2020,"Kingston upon Thames","E09000021","Total","All Ages","Value",179142,"Normal Value"
"218",2020,"Merton","E09000024","Total","All Ages","Value",206453,"Normal Value"
"219",2020,"Redbridge","E09000026","Total","All Ages","Value",305658,"Normal Value"
"220",2020,"Richmond upon Thames","E09000027","Total","All Ages","Value",198141,"Normal Value"
"221",2020,"Sutton","E09000029","Total","All Ages","Value",207707,"Normal Value"
"222",2020,"Waltham Forest","E09000031","Total","All Ages","Value",276940,"Normal Value"
"223",2020,"Bracknell Forest","E06000036","Total","All Ages","Value",124165,"Normal Value"
"224",2020,"Brighton and Hove","E06000043","Total","All Ages","Value",291738,"Normal Value"
"225",2020,"Isle of Wight","E06000046","Total","All Ages","Value",142296,"Normal Value"
"226",2020,"Medway","E06000035","Total","All Ages","Value",279142,"Normal Value"
"227",2020,"Milton Keynes","E06000042","Total","All Ages","Value",270203,"Normal Value"
"228",2020,"Portsmouth","E06000044","Total","All Ages","Value",214692,"Normal Value"
"229",2020,"Reading","E06000038","Total","All Ages","Value",160337,"Normal Value"
"230",2020,"Slough","E06000039","Total","All Ages","Value",149577,"Normal Value"
"231",2020,"Southampton","E06000045","Total","All Ages","Value",252872,"Normal Value"
"232",2020,"West Berkshire","E06000037","Total","All Ages","Value",158465,"Normal Value"
"233",2020,"Windsor and Maidenhead","E06000040","Total","All Ages","Value",151273,"Normal Value"
"234",2020,"Wokingham","E06000041","Total","All Ages","Value",173945,"Normal Value"
"235",2020,"Aylesbury Vale","E07000004","Total","All Ages","Value",206851,"Normal Value"
"236",2020,"Chiltern","E07000005","Total","All Ages","Value",96219,"Normal Value"
"237",2020,"South Bucks","E07000006","Total","All Ages","Value",70473,"Normal Value"
"238",2020,"Wycombe","E07000007","Total","All Ages","Value",173517,"Normal Value"
"239",2020,"Eastbourne","E07000061","Total","All Ages","Value",103324,"Normal Value"
"240",2020,"Hastings","E07000062","Total","All Ages","Value",92554,"Normal Value"
"241",2020,"Lewes","E07000063","Total","All Ages","Value",103525,"Normal Value"
"242",2020,"Rother","E07000064","Total","All Ages","Value",96716,"Normal Value"
"243",2020,"Wealden","E07000065","Total","All Ages","Value",162733,"Normal Value"
"244",2020,"Basingstoke and Deane","E07000084","Total","All Ages","Value",177760,"Normal Value"
"245",2020,"East Hampshire","E07000085","Total","All Ages","Value",123838,"Normal Value"
"246",2020,"Eastleigh","E07000086","Total","All Ages","Value",135520,"Normal Value"
"247",2020,"Fareham","E07000087","Total","All Ages","Value",116338,"Normal Value"
"248",2020,"Gosport","E07000088","Total","All Ages","Value",84679,"Normal Value"
"249",2020,"Hart","E07000089","Total","All Ages","Value",97608,"Normal Value"
"250",2020,"Havant","E07000090","Total","All Ages","Value",126339,"Normal Value"
"251",2020,"New Forest","E07000091","Total","All Ages","Value",179649,"Normal Value"
"252",2020,"Rushmoor","E07000092","Total","All Ages","Value",94387,"Normal Value"
"253",2020,"Test Valley","E07000093","Total","All Ages","Value",127163,"Normal Value"
"254",2020,"Winchester","E07000094","Total","All Ages","Value",125925,"Normal Value"
"255",2020,"Ashford","E07000105","Total","All Ages","Value",131018,"Normal Value"
"256",2020,"Canterbury","E07000106","Total","All Ages","Value",166762,"Normal Value"
"257",2020,"Dartford","E07000107","Total","All Ages","Value",114051,"Normal Value"
"258",2020,"Dover","E07000108","Total","All Ages","Value",118514,"Normal Value"
"259",2020,"Gravesham","E07000109","Total","All Ages","Value",106890,"Normal Value"
"260",2020,"Maidstone","E07000110","Total","All Ages","Value",173132,"Normal Value"
"261",2020,"Sevenoaks","E07000111","Total","All Ages","Value",121387,"Normal Value"
"262",2020,"Folkestone and Hythe","E07000112","Total","All Ages","Value",113320,"Normal Value"
"263",2020,"Swale","E07000113","Total","All Ages","Value",151015,"Normal Value"
"264",2020,"Thanet","E07000114","Total","All Ages","Value",141458,"Normal Value"
"265",2020,"Tonbridge and Malling","E07000115","Total","All Ages","Value",132571,"Normal Value"
"266",2020,"Tunbridge Wells","E07000116","Total","All Ages","Value",118939,"Normal Value"
"267",2020,"Cherwell","E07000177","Total","All Ages","Value",151846,"Normal Value"
"268",2020,"Oxford","E07000178","Total","All Ages","Value",151584,"Normal Value"
"269",2020,"South Oxfordshire","E07000179","Total","All Ages","Value",143782,"Normal Value"
"270",2020,"Vale of White Horse","E07000180","Total","All Ages","Value",137910,"Normal Value"
"271",2020,"West Oxfordshire","E07000181","Total","All Ages","Value",111758,"Normal Value"
"272",2020,"Elmbridge","E07000207","Total","All Ages","Value",137215,"Normal Value"
"273",2020,"Epsom and Ewell","E07000208","Total","All Ages","Value",81003,"Normal Value"
"274",2020,"Guildford","E07000209","Total","All Ages","Value",150352,"Normal Value"
"275",2020,"Mole Valley","E07000210","Total","All Ages","Value",87547,"Normal Value"
"276",2020,"Reigate and Banstead","E07000211","Total","All Ages","Value",149243,"Normal Value"
"277",2020,"Runnymede","E07000212","Total","All Ages","Value",90327,"Normal Value"
"278",2020,"Spelthorne","E07000213","Total","All Ages","Value",99873,"Normal Value"
"279",2020,"Surrey Heath","E07000214","Total","All Ages","Value",89204,"Normal Value"
"280",2020,"Tandridge","E07000215","Total","All Ages","Value",88542,"Normal Value"
"281",2020,"Waverley","E07000216","Total","All Ages","Value",126556,"Normal Value"
"282",2020,"Woking","E07000217","Total","All Ages","Value",100008,"Normal Value"
"283",2020,"Adur","E07000223","Total","All Ages","Value",64187,"Normal Value"
"284",2020,"Arun","E07000224","Total","All Ages","Value",161123,"Normal Value"
"285",2020,"Chichester","E07000225","Total","All Ages","Value",121508,"Normal Value"
"286",2020,"Crawley","E07000226","Total","All Ages","Value",112474,"Normal Value"
"287",2020,"Horsham","E07000227","Total","All Ages","Value",145474,"Normal Value"
"288",2020,"Mid Sussex","E07000228","Total","All Ages","Value",152142,"Normal Value"
"289",2020,"Worthing","E07000229","Total","All Ages","Value",110727,"Normal Value"
"290",2020,"Bath and North East Somerset","E06000022","Total","All Ages","Value",196357,"Normal Value"
"291",2020,"Bournemouth","E06000028","Total","All Ages","Value",194645,"Normal Value"
"292",2020,"Bristol, City of","E06000023","Total","All Ages","Value",465866,"Normal Value"
"293",2020,"Cornwall","E06000052","Total","All Ages","Value",573299,"Normal Value"
"294",2020,"Isles of Scilly","E06000053","Total","All Ages","Value",2226,"Normal Value"
"295",2020,"North Somerset","E06000024","Total","All Ages","Value",215574,"Normal Value"
"296",2020,"Plymouth","E06000026","Total","All Ages","Value",262839,"Normal Value"
"297",2020,"Poole","E06000029","Total","All Ages","Value",151792,"Normal Value"
"298",2020,"South Gloucestershire","E06000025","Total","All Ages","Value",287816,"Normal Value"
"299",2020,"Swindon","E06000030","Total","All Ages","Value",222881,"Normal Value"
